Date,Open,High,Low,Close,Adj Close,Volume
10-11-2021,3498,3519.699951,3480.199951,3484.300049,3335.145752,1516489
11-11-2021,3480,3510.050049,3436,3488.199951,3338.878662,1284514
12-11-2021,3506,3534.149902,3485.699951,3526.050049,3375.108643,1747259
15-11-2021,3528,3569.600098,3528,3553.300049,3401.191895,1809157
16-11-2021,3569,3575.550049,3542,3556.399902,3404.15918,2013204
17-11-2021,3550.600098,3562.850098,3506.399902,3521.899902,3371.135986,1632914
18-11-2021,3515.149902,3520.850098,3451.600098,3475.699951,3326.913818,2136598
22-11-2021,3478.399902,3515.949951,3440.300049,3458.399902,3310.354492,3167936
23-11-2021,3445,3480.949951,3407.800049,3464.25,3315.954102,2153461
24-11-2021,3472.199951,3493.050049,3424,3443.300049,3295.900879,2161746
25-11-2021,3443.899902,3463,3434.050049,3445.899902,3298.389404,1849619
26-11-2021,3425,3490,3411.899902,3446.850098,3299.299072,1941251
29-11-2021,3447.149902,3529.350098,3406.449951,3502,3352.087891,2981745
30-11-2021,3491,3563.75,3491,3529.149902,3378.075928,5588446
01-12-2021,3535,3590,3535,3577.800049,3424.643311,2102118
02-12-2021,3589.199951,3648,3574.100098,3642.899902,3486.956299,3152938
03-12-2021,3646.449951,3665.949951,3630.850098,3640.449951,3484.611084,2486263
06-12-2021,3640.449951,3658,3522,3536.399902,3385.015381,1849642
07-12-2021,3562.5,3598,3524.300049,3584.5,3431.056396,1484458
08-12-2021,3601,3646.449951,3601,3626.899902,3471.640869,1428660
09-12-2021,3610,3634.75,3566,3601.75,3447.568115,1567957
10-12-2021,3585,3642,3575.100098,3636.800049,3481.11792,1510718
13-12-2021,3650,3662,3601.699951,3609.649902,3455.129395,1883864
14-12-2021,3605,3635,3576.699951,3623.800049,3468.674316,1747007
15-12-2021,3620,3623,3558.149902,3570.350098,3417.512207,1603233
16-12-2021,3582,3608.449951,3570,3581.600098,3428.280518,2072320
17-12-2021,3602.5,3651.350098,3573.699951,3584.350098,3430.912842,4333992
20-12-2021,3589,3606,3510.149902,3556.899902,3404.637451,2312310
21-12-2021,3582.649902,3641.199951,3566.399902,3608.300049,3453.837646,2340989
22-12-2021,3624,3636.800049,3606.25,3630.75,3475.326904,1224328
23-12-2021,3648,3670.5,3630,3662.699951,3505.908936,1792861
24-12-2021,3685,3705,3644.800049,3670.899902,3513.757568,2209923
27-12-2021,3671,3700,3653.100098,3696.100098,3537.87915,1534135
28-12-2021,3710,3725,3693.850098,3706.550049,3547.881836,1456218
29-12-2021,3692.25,3719.949951,3685,3694.699951,3536.538818,1456923
30-12-2021,3681.350098,3740,3680,3733.75,3573.91748,1966475
31-12-2021,3742.800049,3760,3731.300049,3738.350098,3578.320557,1207141
03-01-2022,3750,3830,3745,3817.75,3654.321289,2346158
04-01-2022,3831.100098,3889.149902,3811.699951,3884.75,3718.453369,2488606
05-01-2022,3865,3870,3812.399902,3860.949951,3695.672363,1733031
06-01-2022,3812,3835,3772,3807.449951,3644.462402,1810293
07-01-2022,3820,3864.899902,3796.399902,3853.5,3688.541016,2460591
10-01-2022,3978,3978,3861,3879.850098,3713.763184,3937092
11-01-2022,3856,3925,3856,3915.899902,3748.27002,1906106
12-01-2022,3925,3929,3836.550049,3859.899902,3694.666992,3203744
13-01-2022,3918,3923,3857,3897.899902,3731.040283,6684507
14-01-2022,3877.850098,3977,3860.050049,3968.149902,3798.283203,3348123
17-01-2022,3992.699951,4043,3962.300049,4019.149902,3847.099854,3442604
18-01-2022,4033.949951,4041.699951,3980,3990.600098,3819.771973,2389041
19-01-2022,4012,4012,3910.5,3914.649902,3753.657715,3102539
20-01-2022,3910,3920,3811,3826.550049,3669.181152,6176776
21-01-2022,3807,3851.550049,3771.100098,3833.5,3675.844971,3112358
24-01-2022,3840,3849.649902,3740.100098,3771.350098,3616.251221,3258414
25-01-2022,3769.5,3809.399902,3722.199951,3769.899902,3614.860596,3330501
27-01-2022,3731,3733.399902,3625.100098,3649.25,3499.172852,5718297
28-01-2022,3646,3729.800049,3646,3690.050049,3538.294678,3143862
31-01-2022,3749,3758,3721.399902,3736.25,3582.594727,2739393
01-02-2022,3770,3808,3736.399902,3800.649902,3644.346191,2105169
02-02-2022,3827.899902,3864,3800.649902,3856.199951,3697.611572,1984212
03-02-2022,3851,3882.5,3816.050049,3824.600098,3667.311279,1960538
04-02-2022,3815.300049,3824.699951,3769,3814.899902,3658.009766,2307366
07-02-2022,3791,3831.800049,3756.149902,3779,3623.58667,1919149
08-02-2022,3791.550049,3799.699951,3721,3743.449951,3589.498535,2946443
09-02-2022,3750,3777.949951,3746.100098,3760.550049,3605.895508,1638721
10-02-2022,3789.800049,3789.800049,3758,3770.350098,3615.29248,2112459
11-02-2022,3752.5,3752.5,3690,3694.949951,3542.993164,3851488
14-02-2022,3724,3793.25,3710,3733.75,3580.197266,5951745
15-02-2022,3786,3835,3748,3817.800049,3660.790527,3931683
16-02-2022,3844,3854.100098,3806,3813.100098,3656.28418,3256906
17-02-2022,3825,3835,3779,3784.199951,3628.57251,3134372
18-02-2022,3769,3815.949951,3757.600098,3793.899902,3637.873779,3688883
21-02-2022,3810,3827.800049,3705.550049,3719.399902,3566.437744,7465922
22-02-2022,3650,3667.899902,3570,3586.399902,3438.907227,5408531
23-02-2022,3611,3622.899902,3555.649902,3563.800049,3417.236816,2426203
24-02-2022,3474,3483.850098,3391.100098,3401.649902,3261.755127,5039136
25-02-2022,3468,3530,3462,3520.75,3375.957031,2549723
28-02-2022,3490,3563.75,3455.899902,3554.199951,3408.031494,3288942
02-03-2022,3552.5,3571.949951,3506,3546.149902,3400.312256,2761341
03-03-2022,3562.850098,3578.600098,3530.100098,3544.399902,3398.634521,1928039
04-03-2022,3501.5,3561.199951,3487.050049,3524.350098,3379.40918,2370257
07-03-2022,3450,3548,3431.550049,3484.899902,3341.581299,3054130
08-03-2022,3460,3609,3460,3599.949951,3451.900146,3300992
09-03-2022,3605,3654,3597.050049,3632.600098,3483.207275,2719654
10-03-2022,3684,3684,3615,3620.949951,3472.036133,2005441
11-03-2022,3603.25,3639.850098,3592.850098,3599.149902,3451.132568,1623423
14-03-2022,3580,3648.350098,3580,3643,3493.179688,1765688
15-03-2022,3659,3659,3585.399902,3593.899902,3446.098633,3651133
16-03-2022,3640.5,3668,3616.25,3655.899902,3505.548828,3090475
17-03-2022,3696.600098,3710,3660.300049,3672.75,3521.705811,3600452
21-03-2022,3696,3713.949951,3615,3626.699951,3477.549805,2413831
22-03-2022,3640,3711,3625,3700.949951,3548.746338,2907611
23-03-2022,3708,3729.800049,3690,3712.399902,3559.725342,1596195
24-03-2022,3700,3758.199951,3695,3749.850098,3595.635498,1879046
25-03-2022,3759.899902,3779.5,3672,3707.449951,3554.979004,1690133
28-03-2022,3695,3713,3661.199951,3707.699951,3555.218506,1760990
29-03-2022,3694.75,3722,3691,3705.350098,3552.965332,2689063
30-03-2022,3738,3738,3706.199951,3731.550049,3578.087891,1583455
31-03-2022,3740,3754.649902,3720.199951,3739.949951,3586.142578,2168110
01-04-2022,3748,3763,3728.050049,3758.75,3604.169189,1387014
04-04-2022,3762,3780,3737.100098,3770.350098,3615.29248,1472994
05-04-2022,3772,3835.600098,3772,3814.800049,3657.914063,2314947
06-04-2022,3809.300049,3809.300049,3731.149902,3755.350098,3600.909424,2051729
07-04-2022,3745.5,3745.5,3679,3684.149902,3532.637451,2494829
08-04-2022,3690,3705,3642.5,3685.649902,3534.075439,2296773
11-04-2022,3690,3712.350098,3656.100098,3696.399902,3544.383301,2291660
